RS;archive/general area;detail in general;loc;pt;depth;script;genre;date;scribe;origin;bibliography;museal sig;col
11.853;Royal Zone;;W of WE;2453;2.80;s-hu;LeI?;;;k?;P3,327;;
16.382;Royal Palace;Central archive;"""région Arch.C""";;;a-ug;J;A-2;;u;3.5;D 4388;
15.146+15.161;Royal Palace;Central archive;VI;ib.|196;1.60;s-ak;J;N-;;u;P3,58|TEO 1,92];D 4011;
13.012;Royal Palace;Western archive;1;8;3.00;a-ug;E;;;u;4.122;D 3700;
13.014bis;Royal Palace;Western archive;1;8;;a-ug;ib.;;;ib.;4.105;AO 25.171;
14.001;Royal Palace;Western archive;1;33;3.75;a-ug;E;;;u;4.125;D 3886;
13.001;Royal Palace;;16;1;1.25;a-ug;E;;;u;4.119;D 3692;
13.008;Royal Palace;;16;5;1.70;;tag (seal);;;;;D 3703;
12.033;Royal Palace;Western archive;2/3;16;1.55;s-ak;LeI?;Taryelli;;u;P3,14;D 3683;
12.034+12.043;Royal Palace;Western archive;2|4;18|17;2.25|1.70;s-ak;E;;;u;S28,49-;D 3684;
15.093;Royal Palace;Central archive;20;215;1.80;a-ug;E;;;u;4.172;D 3966;
15.088;Royal Palace;Central archive;21;182;2.20;s-ak;J;Np;38;u;P3,88;D 3961;
15.090;Royal Palace;Central archive;21;189;1.25;s-ak;J;N-2;;u;P3,54;D 3963;
15.137;Royal Palace;Central archive;21;189;1.25;s-ak;J;A-2;;u;P3,134;D 4004;*
15.139;Royal Palace;Central archive;21;189;1.25;s-ak;J;Ib;;u;P3,166;D 4006;
13.007bis;Royal Palace;;28;7;1.65;s-ak;LeI;Ap;;k?;P3,6,2;D 3695;
13.020;Royal Palace;;28 (near 13.14);10;2.35;a-ug;E;;;u;4.124;D 3699;
12.060;Royal Palace;;28 (T.);48;1.00;a-ug;E;;;u;4.117;D 3688;
13.014=13.012bis;Royal Palace;;28, 1;10, 8;2.35, 3.00;a-ug;E;;;u;4.123, P2,nl03;D 3698;
18.100;Royal Palace;;29;1501;under wall;s-ak;JI?;;;;P4,241;D 4821;
11.835;Royal Palace;Western archive;3;2428;1.75;;;;;;?;;
12.064;Royal Palace;Western archive;3;27;1.00;a-ug;Sch;;;u;5.7;D 3690;
15.070;Royal Palace;Central archive;30;195;2.80;s-ak;J;;A-2;u;P3,130;D 3944;
14.016;;;W.Tr. C.;107;1.70;s-ak;J;;4;u;S28.173;D 3888;**
14.017;;;W.Tr. 101 C.;;1.90;;;;;;;D 3889;
11.774;Royal Zone;;W of WE;2417;1.60;a-ug;E;;;u;4.77;AO 19.965;
11.784;Royal Zone;;W of WE;2425;2.00;a-ug;E;;;u;4.83;AO 19.980;
11.785;Royal Zone;;W of WE;2425;;a-ug;E;;;u;4.84;AO 19.997;
11.786;Royal Zone;;W of WE;2422;1.55;a-ug;E;;;u;4.85;AO 19.963;
11.795;Royal Zone;;W of WE;2423;1.80;a-ug;E;;;u;4.91;AO 19.974;
11.798;Royal Zone;;W of WE;2423;1.80;s-ak;;;;;;A 2832;
11.799;Royal Zone;;W of WE;2423;;a-ug;E;;;u;4.92;A 2809;
11.800bis;Royal Zone;;W of WE;2423;;s-ak;E;;;u;P3,190;AO 19.984;
11.850;Royal Zone;;W of WE;2452;4.00;a-ug;E;;;u;4.100;A 2792;
20.217;Residential District;;W of Rap;1763;0.30;s-su-ak;Hh 24;;;u;;D 5386;
20.244+21.063F;Residential District;;W of Rap;ib.|1851;0.40;s-ak;Le;;;;U5,n61|U5,n60;D -|D 5406;
21.056;Residential District;;W of Rap;2244;1.00;a-ug;E;;;u;4.705;D 5566;
27.052;;;W of PS;4540;1.30;s-ak;JI;In;;k;P6,n36;D 6795;
27.055;;;W of PS;4541;;a-ug;E;;;u;4.748;D 6797;
28.018;;;W of PS;;;s-ak;?;;;;;;
27.069;Royal Zone;;W of PC;4548;0.50;h-eg;Vase;;;e;;;
23.496;South City;;W of MT2;3022;2.10;a-ug;E;;;u;4.725;D 6136;
23.028;South City;;W of MT18;2896;0.10;a-ug;E;;;u;4.721;D 6101;
22.410+23.489+24.658+24.659;South City;;W of MT1|NW of MT|MT15;2900|2927|3064|ib.;0.75|0.45;s-su;Hh 14-;;;u;(1960!);D 6128|D 6681|D 5831|D 6881;
22.429+23.026;South City;;W of MT1|MT4,1;2687|2948;1.00|1.70;s-su;Hh 5-;;;u;;D 5852;
23.367;South City;;W of MT;3149;2.00;s-[su]-ak;Lex;;;;;D 6121;
23.368;South City;;W of MT;3286;0.80;s-ak;Le;;;;;D 6122;**
23.484;South City;;W of MT;2992;0.70;a-ug;Rel;;;u;1.97;D 6123;
23.485B;South City;;W of MT;2992;;s-su?;Lex;;;;;D 6125;
20.124;Residential District;;W of L;1754;1.20;s-su-ak;Hh 8-;;;u;;D 5295;*
22.046;South City;;VS;;surf.;a-ug;E;;;u;4.713;D 5784;
22.[459];South City;;VS;2688;1.10;;;;;;frg.;D -;
24.048;South City;;VS;3371;1.70;;(seal);;;;;;
24.645;South City;;VS;3382;0.50;s-ak;E;;;u;;D 6662;
28.053A;South City;;VS;2178;1.40;s-su;Hh 23;;;u;;D 6801;
28.053B;South City;;VS;2178;;s-ak;Rel?;;;;;D 6802;
28.053C;South City;;VS;2178;;s-;Lex?;;;;;;
15.085;Royal Palace;Central archive;30;157;surf;s-ak;J;N-2;;u;P3,52;D 3958;*
15.126;Royal Palace;Central archive;30;150;2.80;s-ak;J;A-2;;u;P3,112;D 3994;
15.132;Royal Palace;Central archive;30;144;2.20;s-ak;J;A-2;;u;P3,133;D 4000;*
15.141;Royal Palace;Central archive;30;198;2.80;s-ak;J;A-2;;u;P3,136;D 4008;
15.152;Royal Palace;Central archive;30;161;0.40;s-su-ak;M;;;u;U5,nl7b;D 4014;
15.155;Royal Palace;Central archive;30;112;1.10;s-ak;J;A-2;;u;P3,118;D4017;
15.156;Royal Palace;Central archive;30;112 (dump);;a-ug;E;;;u;4.186;D 4018;
15.167+15.163;Royal Palace;Central archive;30;ib.|193;1.85;s-ak;J;A-2;;u;P3,124;D 4023;*
15.168;Royal Palace;Central archive;30;148;2.75;s-ak;J;A-2;32;u;P3,136;D 4024;
15.201;Royal Palace;Central archive;30;193?;±1.70?;h-eg;vase;R-2;;e;U3,fl21;D 4154;
15.140;Royal Palace;Central archive;30/31;199;2.50;s-ak;J;A-2;24;u;P3,135;D 4007;*
15.202;Royal Palace;Central archive;30/31;132, 152, 193;1.40, 2.75, 1.70;h-eg;vase;Am-4;;e;U3,164;D 4155;
15.203;Royal Palace;Central archive;30/31;132, 152, 193;1.40 2.75 1.70;h-eg;vase;Am-4;;e;U3,164;D 4156;
15.131+15.127;Royal Palace;;30|55;160|144;2.20|1.60;s-ak;J;A-2;32;u;P3,132|P3,133;D 3995|D 3999;
15.100;Royal Palace;Central archive;31;209;3.00;s-ak;J;A-2;;u;P3,130;D 3973;
15.124;Royal Palace;Central archive;31;158;0.30;s-ak;Le?;;;;P3,21;D 3992;
15.125;Royal Palace;Central archive;31;155;2.80;a-ug;J;N-;;u;2.19;D 3993;
15.147;Royal Palace;Central archive;31;211;3.00;s-ak;J;A-2;29;u;P3,125;D 4012;*
15.150;Royal Palace;Central archive;31;211;;s-ak;J;;;u;P3,171;D 4013;
15.239;Royal Palace;Central archive;31;132;1.40;h-eg;vase;N-;;u?;U3,164-179;D 4160;
15.084;Royal Palace;Central archive;32;125;2.80;a-ug;E;;;u;4.170;D 3957;
15.096;Royal Palace;Central archive;32;41;1.00;a-ug;E;;;u;4.175;D 3969;
15.097;Royal Palace;Central archive;32;41;;a-ug;tag;;;u;6.20;D 3970;
15.078;Royal Palace;;36;90;1.40;a-ug;E;;;u;4.166;D 3951;
15.212;Royal Palace;;37;26;0.55;h-eg;vase;;;;;D 4158;
11.713;Royal Palace;Western archive;4;2387;0.85, -1.15;;;;;;?;;
11.714;Royal Palace;Western archive;4;2387;;a-ug;E;;;u;4.67;AO 20.004;
11.718;Royal Palace;Western archive;4;2387;1.15;s-ak;E;;;u;P3,36;A 2814;
11.720;Royal Palace;Western archive;4;2387;;a-ug;E;;;u;4.70;AO 19.989;
11.787;Royal Palace;Western archive;4;2424;1.75;s-ak;E;;;u;P3,194;AO 19.943;*
12.006;Royal Palace;Western archive;4;4;1.00;a-ug;E;;;u;4.110;D 3677;
12.008;Royal Palace;Western archive;4;4;1.00;a-ug;E;;;u;4.111;D 3678;
12.018;Royal Palace;Western archive;4;4;2.20;a-ug;E;;;u;4.113;D 3680;
15.072;Royal Palace;;41;7;0.80;a-ug;Rel;;;u;1.80;D 3946;
15.071;Royal Palace;;45;140;2.60;a-ug;Sch;;;u;5.8;D 3945;
15.135;Royal Palace;;45;183;2.15;s-ak;E;;;u;PS,206;D 4002;*
11.722;Royal Palace;Western archive;5;2394A;1.30;"a-ug;s-ak";E;;;u;4.72;AO 19.988;
11.723;Royal Palace;Western archive;5;2394A;1.30;s-ak;LeI;;;s?;P3,9 Sem 3,19;AO 19.950;*
11.724+11.843;Royal Palace;Western archive;5;ib.|2432;1.75;a-ug;E;;;u;4.73;A 2823;
11.732;Royal Palace;Western archive;5;2405;2.80;a-ug;E;;;u;4.74;AO 19.999;
11.732[A];Royal Palace;Western archive;5;2405;;a-;;;;;frg.;;
11.732[B];Royal Palace;Western archive;5;2405;;s-ak;T/E;;;u/h?;P3,181;AO 19.956;
11.775;Royal Palace;Western archive;5;2418;1.20;a-ug;E;;;u;4.78;A 2801;
11.777;Royal Palace;Western archive;5;2418;;a-ug;E;;;u;4.79;A 2816;
11.778;Royal Palace;Western archive;5;2418;;a-ug;E;;;u;4.80;A 2815;
11.779;Royal Palace;Western archive;5;2418;;a-ug;E;;;u;4.81;AO 19.976;
11.781;Royal Palace;Western archive;5;2418;;a-ug;E;;;u;4.82;A 2808;
11.783;Royal Palace;Western archive;5;2418;;;;;;;?;;
11.788;Royal Palace;Western archive;5;2418;1.20;a-ug;E;;;u;4.86;AO 19.985;
11.789;Royal Palace;Western archive;5;2418;;a-ug;E;;;u;4.87;A020.006[E];
11.790;Royal Palace;Western archive;5;2418;;s-ak;E;;;u;P3,189;A 2797;
11.791;Royal Palace;Western archive;5;2418;;s-ak;E;;;u;;AO 19.951;*
11.792;Royal Palace;Western archive;5;2418;;a-ug;E;;;u;4.104;AO 19.979;
11.793;Royal Palace;Western archive;5;2418;;a-ug;E;;;u;4.88;A 2804;
11.794;Royal Palace;Western archive;5;2418;;s-ak;Le/JI;;;;P3,17;AO 19.960;*
11.796;Royal Palace;Western archive;5;2418;1.20;a-ug;E;;;u;4.89;AO 19.972;
11.830;Royal Palace;Western archive;5;2418;2.20 (floor);s-ak;E;;;u;P3,190;A 2791;
11.832;Royal Palace;Western archive;5;2418;;a-ug;E;;;u;4.94;A 2819;
11.834;Royal Palace;Western archive;5;2418;;s-ak;Le;;;;P3,17;A 2805;
11.839;Royal Palace;Western archive;5;2432;3.40;s-ak;E;;;u;P3,194;AO 19.942;
11.840;Royal Palace;Western archive;5;2432;;a-ug;E;;;u;4.96;AO 19.973;
11.841;Royal Palace;Western archive;5;2432;;a-ug;E;;;u;4.97;A 2810;
11.841[A];Royal Palace;Western archive;5;2432;;s-ak;E;;;u;P3,191;AO 19.948;*
11.844;Royal Palace;Western archive;5;2432;;a-ug;E;;;u;4.98;AO 19.987;
11.845;Royal Palace;Western archive;5;2432;;a-ug;E;;;u;4.99;AO 19.986;
18.252;Royal Palace;Western archive;5;1518;;"a-ug;s-ak";E;;;u;4.416;D 4860;
11.776+11.800;Royal Palace;Western archive;5|W of WE;2418|2417;1.60;a-ug;E;;;u;4.93;A 2783;
15.077;Royal Palace;Eastern archive;52;84;2.50;s-ak;LeI;;;k;P3,6;Tart.510;
15.106=107bis;Royal Palace;Eastern archive;52;84;2.50;a-ug;E;;;u;4.181;D 3978;
15.107;Royal Palace;Eastern archive;52;84;;a-ug;Le?;;;;2.18;D 3979;
15.116;Royal Palace;Eastern archive;52;119;2.50;a-ug;E;;13;u;4.183;D 3985;
15.170;Royal Palace;Eastern archive;52;108;2.70;a-ug;E;;;u;4.189;D 4026;
15.171A;Royal Palace;Eastern archive;52;108;;a-ug;E;;;u;4.190;—;
15.172;Royal Palace;Eastern archive;52;108;;s-ak;E;;;u;P3,204;D 4027;
15.173;Royal Palace;Eastern archive;52;108;;s-ak;J;;;u;P3,40;D 4028;*
15.174;Royal Palace;Eastern archive;52;108;;a-ug;Le(I);;;;2.21;D 4029;
15.175A+15.175B+15.175C;Royal Palace;Eastern archive;52;108;;a-ug;;;;;3 frgs.;—;
15.176;Royal Palace;Eastern archive;52;108;;a-ug;E;;;u;4.192;D 4030;
15.176bis;Royal Palace;Eastern archive;52;108;;a-ug;E;;;u;4.193;;
15.177=15.171[B];Royal Palace;Eastern archive;52;108;;a-ug;;;;;4.191;--;
15.178;Royal Palace;Eastern archive;52;108;;s-ak;Le;;;;P3,8;D 4031;
15.179;Royal Palace;Eastern archive;52;108;;s-ak;E;;;u;P3,191;D 4032;
15.180;Royal Palace;Eastern archive;52;108;;s-ak;J;;;u;P3,36;D 4033;*
15.181;Royal Palace;Eastern archive;52;108 (ashes);;a-ug;E;;;u;4.194;D 4034;
15.182;Royal Palace;Eastern archive;52;108;;s-ak;J;;;u;P3,35;D 4035;*
15.183;Royal Palace;Eastern archive;52;108;;s-ak;E;;;u;P3.192;D 4036;
15.184;Royal Palace;Eastern archive;52;108;;a-ug;E;;;u;4.195;D 4037;
15.185;Royal Palace;Eastern archive;52;108;;a-ug;E;;;u;4.196;—;
15.186;Royal Palace;Eastern archive;52;108;;;;;;;illegible;—;
15.187A;Royal Palace;Eastern archive;52;108;;a-ug;E;;;u;4.197;—;
15.187B;Royal Palace;Eastern archive;52;108;;a-ug;E;;;u;4.198;—;
15.187C+15.187D+15.187E+15.187F+15.187G;Royal Palace;Eastern archive;52;108;;;;;;;frgs.;—;
15.188;Royal Palace;Eastern archive;52;108;;a-ug;E;;;u;4.199;D 4038;
15.189;Royal Palace;Eastern archive;52;108;;a-ug;E;;;u;4.200;—;
15.191[A];Royal Palace;Eastern archive;52;108;2.70;a-ug;Le;;;;2.22;—;
15.191B+15.191C;Royal Palace;Eastern archive;52;108;;s-;;;;;frgs.;—;
15.192[D];Royal Palace;Eastern archive;52;108;2.70;a-ug;E;;;u;4.201;—;
15.192E+15.192F+15.192G+15.192H+15.192I+15.192J+15.192K+15.192L+15.192M+15.192N+15.192O+15.192P;Royal Palace;Eastern archive;52;108;;a/s-;;;;;frgs.;—;
15.226;Royal Palace;Eastern archive;52;108;2.70;a-ug;wgt;;;u;6.22;D 4047;
15.163A+15.163B+15.163C+15.163D+15.163E+15.163F+15.163G;Royal Palace;Eastern archive;52;108;2.70;;;;;;frgs.;;
15.564[A]+15.564[B];Royal Palace;Eastern archive;52;108;;;tag (seal);;;;frg.;;
15.080;Royal Palace;Eastern archive;52/53;123;2.55;a-ug;tag;;;u;6.19;D 3953;
15.159;Royal Palace;Eastern archive;52/53;123;2.55;;tag (seals);;;;;D 4021;
15.192A;Royal Palace;Eastern archive;52/53;123;2.55;a-ug;tag;;;u;6.21;D 4040;
15.192[B];Royal Palace;Eastern archive;52/53;123;2.55;;tag;;;;;D 4041;
15.192[C];Royal Palace;Eastern archive;52/53;123;;;tag (seals);;;;;—;
15.001;Royal Palace;Eastern archive;53;72/3;0.70;a-ug;E;;;u;4.129;D 3894;
15.002;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.130;D 3895;
15.003;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.131;D 3896;
15.004;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.132;D 3897;
15.005;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.133;D 3898;
"15.006[6bis;cf.16.06]";Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.134;D 3899;
15.007;Royal Palace;Eastern archive;53;72/3;;a-ug;Le;;;;2.15;D 3900;
15.008;Royal Palace;Eastern archive;53;72/3;;a-ug;Le;Taryelli;;;2.16;D 3901;
15.009;Royal Palace;Eastern archive;53;72/3;;s-ak;E;;;u;P3,195;D 3902;
15.010;Royal Palace;Eastern archive;53;72/3;;s-ak;Lit;;;u?;P3,311;Tart.511;
15.011;Royal Palace;Eastern archive;53;72/3;;s-ak;Le;;;;P3,19;D 3903;
15.012;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.135;D 3904;
15.013;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.136;D 3905;
15.014;Royal Palace;Eastern archive;53;72/3;;s-ak;LeI;I[b?];;u?;P3,5;D 3563;*
15.025+15.015;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.137;D 3906;
15.016;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.138;D 3907;
15.017;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.139;;
15.018;Royal Palace;Eastern archive;53;72/3;;s-ak;LeI;;;;P3.ll;D 3908;
15.019;Royal Palace;Eastern archive;53;72/3;;s-ak;LeI;;;P;P3,13;D 3909;
15.020;Royal Palace;Eastern archive;53;72/3;;s-ak;E;;;u;P3,191;D 3910;
15.021;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.140;D 3911;
15.022+15.048+15.052;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.141;D 3912|D 3934|D 3936;
15.023;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.142;D 3913;
15.050+15.024;Royal Palace;Eastern archive;53;72/3;;s-ak;LeI;;;am?;P3,18;D 3914;
15.026;Royal Palace;Eastern archive;53;72/3;;a-ug;tag;;;u;6.18;D 3915;
15.027;Royal Palace;Eastern archive;53;72/3;;;;;;;frg.;;
15.030+15.049+17.387;Royal Palace;Eastern archive;53;72/3|82;1.05;s-hu;Rel;;9;u;P3,334;D 3916;
15.031;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.143;D 3917;
15.032;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.144;D 3918;
15.033;Royal Palace;Eastern archive;53;72/3;;s-ak;LeI;;;h;P3,15 f9;D 3919;
15.034;Royal Palace;Eastern archive;53;72/3 (ashes);;a-ug;E;;;u;4.145;D 3920;
15.035;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.146;D 3921;
15.036;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.147;D 3922;
15.037;Royal Palace;Eastern archive;53;72/3;;s-ak;J;?;;u;P3,35;D 3923;*
16.318=15.038;Royal Palace;Eastern archive;53;72/3 (dump);;a-ug;E;;;u;4.148;D 3924;
15.039;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.149;D 3925;
15.040;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.150;D 3926;
15.041;Royal Palace;Eastern archive;53;72/3;;s-ak;E;;;u;P3,38;D 3927;
15.042+15.110;Royal Palace;Eastern archive;53;72/3;;s-ak;E;;;u;U3,164*|P3,196;D 3928;
15.043;Royal Palace;Eastern archive;53;72/3;;s-ak;E;;;u;P3,187;D 3929;
15.044;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.151;D 3930;
15.045;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.152;D 3931;
15.046;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.153;D 3932;
15.047;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.154;D 3933;
15.051;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.155;D 3935;
15.053;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.156;D 3937;
15.054;Royal Palace;Eastern archive;53;72/3;;s-ak?;Sch;;;u;P3,213;D 3938;
15.055;Royal Palace;Eastern archive;53;72/3;;s-ak;J?;;;u?;;;
15.056;Royal Palace;Eastern archive;53;72/3;;a-ug;E;;;u;4.157;;
15.057+15.058+15.059;Royal Palace;Eastern archive;53;72/3;;;;;;;frgs.;;
15.062;Royal Palace;Eastern archive;53;82;1.10;a-ug;E;;;u;4.158;D 3939;
15.063;Royal Palace;Eastern archive;53;87;1.40;s-ak;Le;;;;P3,20;Tart.509;
15.064;Royal Palace;Eastern archive;53;87;;a-ug;E;;;u;4.159;D 3940;
15.065;Royal Palace;Eastern archive;53;87;;a-ug;E;;;u;4.160;D 3941;
15.066;Royal Palace;Eastern archive;53;87;;a-ug;E;;;u;4.161;D 3942;
15.067+15.104;Royal Palace;Eastern archive;53;87;;a-ug;E;;;u;4.162;D 3943;
15.073;Royal Palace;Eastern archive;53;56;0.45;a-ug;E;;;u;4.163;D 3947;
15.074;Royal Palace;Eastern archive;53;61;0.60;s-ak;E;;;u;P3,197;D 3948;
15.075;Royal Palace;Eastern archive;53;63;0.85;a-ug;E;;;u;4.164;D 3949;
15.079;Royal Palace;Eastern archive;53;91;1.80;a-ug;E;;;u;4.167;D 3952;
15.081;Royal Palace;Eastern archive;53;124;2.10;s-ak;J;;;u;P3,37;D 3954;
15.082;Royal Palace;Eastern archive;53;124;;a-ug;E;;;u;4.168;D 3955;
15.083;Royal Palace;Eastern archive;53;124;;a-ug;E;;;u;4.169;D 3956;
15.087;Royal Palace;Eastern archive;53;83;1.60;a-ug;E;;;u;4.171;D 3960;
15.098;Royal Palace;Eastern archive;53;65;0.35;a-ug;Le;;;;2.17;D 3971;
15.099;Royal Palace;Eastern archive;53;72/73;0.70;a-ug;E?;;;u;4.176;D 3972;
15.102;Royal Palace;Eastern archive;53;82;1.10;a-ug;E;;;u;4.178;D 3975;
15.103;Royal Palace;Eastern archive;53;82;;a-ug;E;;;u;4.179;D 3976;
15.105;Royal Palace;Eastern archive;53;82;;a-ug;E;;;u;4.180;D 3977;
15.108;Royal Palace;Eastern archive;53;91;1.80;s-ak;Le?;;;;P3,20;D 3980;
15.115;Royal Palace;Eastern archive;53;115+;1.60;a-ug;E;;;u;4.182;D 3984;
15.117;Royal Palace;Eastern archive;53;124;2.10;a-ug;Le/J?;Np;;u;7.63;D 3986;
15.130;Royal Palace;Eastern archive;53;124;2.10;a-ug;Rel;;;u;1.81;D 3998;
15.144;Royal Palace;Eastern archive;53;124;2.10;a-ug;;;;;frgs.A-F,[G];—;
15.153;Royal Palace;Eastern archive;53;124;2.10;a-ug;E;;;u;4.185;D 4015;
15.154;Royal Palace;Eastern archive;53;124;2.10;s-ak;tag;;;u;P3,187;D 4016;
15.134;Royal Palace;Eastern archive;53(door);181;2.00;a-ug;Rel;;;u;1.82;D 4001;
15.158;Royal Palace;Eastern archive;53(inv:dump);122;2.00;a-ug;LeI;;;;2.20;D 4020;
15.076;Royal Palace;Eastern archive;54;75;0.30;a-ug;E;;;u;4.165;D 3950;
15.094;Royal Palace;Eastern archive;54;109;1.65;a-ug;E;;;u;4.173;D 3967;
15.095;Royal Palace;Eastern archive;54;109;1.65;a-ug;E;;;u;4.174;D 3968;
15.101;Royal Palace;Eastern archive;54;75;0.30;a-ug;E;;;u;4.177;D 3974;
15.113;Royal Palace;Eastern archive;54;109;1.65;s-ak;J;N-3;[];u;P3,168;D 3982;
15.114;Royal Palace;Eastern archive;54;109;;s-ak;J;A-2;;u;P3,U2;D 3983;
15.128;Royal Palace;Eastern archive;54;143;0.70;a-ug;J;;;u;3.3;D 3996;
15.169+[A];Royal Palace;Eastern archive;54;145;0.50;a-ug;E;;;u;4.188;D 4025+[A];
17.049;Royal Palace;Eastern archive;56;901;0.85;a-ug;E;;;u;4.263;D 4539;
17.050;Royal Palace;Eastern archive;56;901;1.00;s-ak;E;;;u;P6,n70;D 4540;**
17.051=17.292;Royal Palace;Eastern archive;56;901;0.85;s-ak;LeI;Ib;;k;P4,188;D 4649;
17.078;Royal Palace;Eastern archive;56;901;0.30;s-ak;LeI;;;;P4,196;D 4557;
17.083;Royal Palace;Eastern archive;56;916, 901,903;0.55;s-ak;LeI;At;;s;P4,216;D 4562;
17.103;Royal Palace;Eastern archive;56;901;3.20;a-ug;E;;;u;4.267;D 4571;
17.106;Royal Palace;Eastern archive;56;903;0.30;a-ug;E;;;u;4.269;D 4573;
17.125;Royal Palace;Eastern archive;56;901;1.80;a-ug;E;;;u;4.275;D 4589;
17.131;Royal Palace;Eastern archive;56;916;0.55;s-ak;E;;;u;P6,93;D 4593;**
17.139;Royal Palace;Eastern archive;56;901;1.10;a-ug;Le;Taryelli;;;2.34;D 4600;
17.141;Royal Palace;Eastern archive;56;901;;;;;;u;4.277;D 4602 ;
17.142;Royal Palace;Eastern archive;56;901;0.75;"a-ug;s-ak";E Le;;;;P6,n4;D 4603;
17.143;Royal Palace;Eastern archive;56;901;1.10;s-ak;LeI;At;;s;P4,217;D 4604;
17.144;Royal Palace;Eastern archive;56;901;0.70;s-ak;Le;;;; P6,n6;D 4605;
17.148;Royal Palace;Eastern archive;56;902;0.30;s-ak;Le;;;;P6,n7;D 4609;
17.151;Royal Palace;Eastern archive;56;901;0.75;a-ug;E;;;u;4.278;D 4612;
17.156;Royal Palace;Eastern archive;56;902;0.40;a-ug;E;;;u;4.279;D 4617;
17.239;Royal Palace;Eastern archive;56;901;;s-ak;Le;;;;P6,n8;D 4631;
17.242;Royal Palace;Eastern archive;56;903;0.30;s-ak;E;;;u;P6,n82;D 4633;**
17.245;Royal Palace;Eastern archive;56;901;0.30;a-ug;E;;;u;4.281;D 4636;
17.246;Royal Palace;Eastern archive;56;901;;a-ug;E;;;u;4.282;D 4637;
17.247;Royal Palace;Eastern archive;56;901;;s-ak;LeI;Ib;;h;P4,191;D 4638;
17.248;Royal Palace;Eastern archive;56;901;;s-ak;JI;;49;;P4,236;D 4639;
17.249;Royal Palace;Eastern archive;56;901;;a-ug;E;;;u;4.283=4.314;D -;**
17.285;Royal Palace;Eastern archive;56;901;0.90;a-ug;E;;;u;4.284;D 4643;
17.286;Royal Palace;Eastern archive;56;901;;s-ak;LeI;[Sgm?];;am;P4,180;D 4644;
17.287;Royal Palace;Eastern archive;56;901;;a-ug;E;;;u;4.285;D 4645;
17.288;Royal Palace;Eastern archive;56;901;;s-ak;LeI;;;uš?;P4.215;D 4646;
17.289;Royal Palace;Eastern archive;56;901;;s-ak;LeI;Ib;;k;P4,192;D 4647;
17.290;Royal Palace;Eastern archive;56;901;;a-ug;E;;;;4.286;D 4648;
17.291;Royal Palace;Eastern archive;56;901;;a-ug;E;;;u;4.287;D -;
17.293;Royal Palace;Eastern archive;56;901;;a-ug;E;;;u;4.288;D 4650;
17.294;Royal Palace;Eastern archive;56;901;;a-ug;E;;;u;4.289;D 4651;
17.298A;Royal Palace;Eastern archive;56;901;0.90;a-ug;E;;;u;4.292;D -;
17.298B;Royal Palace;Eastern archive;56;901;;a-ug;E;;;u;4.293;D -;
17.298[C];Royal Palace;Eastern archive;56;901;;;;;;;frg-;;
17.299;Royal Palace;Eastern archive;56;901;;s-ak;JI;;24;;P4,182;D 4653;
17.383;Royal Palace;Eastern archive;56;901;3.40;s-ak;Le;;;h?;P4,221;D 4717;
17.384;Royal Palace;Eastern archive;56;901;;a-ug;E;;;u;4.307;D4718;
17.385;Royal Palace;Eastern archive;56;901;;s-ak;LeI;Ib;;k;P4,194;D 4719;
17.386;Royal Palace;Eastern archive;56;901;;"a-ug;s-ak";E;;;u;4.308;D 4720;
17.388;Royal Palace;Eastern archive;56;901;;s-ak;J;;6;u;P6,n50;D 4721;
17.389;Royal Palace;Eastern archive;56;901;;a-ug;E;;;u;4.309;D 4722;
17.390;Royal Palace;Eastern archive;56;901;;s-ak;Le;;;;P6,nl0;D 4723;*
17.391;Royal Palace;Eastern archive;56;901;;s-ak;Le;;;;P4,226;D 4724;
