,language,count of texts
0,Ugaritic;Akkadian,52
1,Akkadian;Sumerian,150
2,Akkadian;Hittite,2
3,Akkadian;Hurrian,2
4,Ugaritic;Sumerian,2
5,Ugaritic;Akkadian;Sumerian;Hurrian,8
6,Akkadian;Sumerian;Hurrian,3
7,Ugaritic;Akkadian;Sumerian,1
8,Ugaritic;Hurrian,5
9,Akkadian;Sumerian;Hittite,1
10,Ugaritic;Hittite,1
